#Run;Collection date;AST phenotypes;Isolate;Location;Isolation source
SRR30762255;2005;amikacin=R,amoxicillin=R,cefotaxime=R,ceftazidime-avibactam=R,ceftazidime=R,ciprofloxacin=R,colistin=S,gentamicin=R,imipenem=R,meropenem=R,nitrofurantoin=S,tigecycline=SDD,trimethoprim-sulfamethoxazole=R;PDT002391512.1;Tunisia: Sfax;blood
SRR30762243;2009;amikacin=R,amoxicillin=R,cefotaxime=R,ceftazidime-avibactam=S,ceftazidime=R,ciprofloxacin=R,colistin=S,gentamicin=R,imipenem=S,meropenem=S,tigecycline=SDD,trimethoprim-sulfamethoxazole=R;PDT002391500.1;Tunisia: Sfax;blood
SRR30762254;2009;amikacin=R,amoxicillin=R,cefotaxime=R,ceftazidime-avibactam=S,ceftazidime=R,ciprofloxacin=R,colistin=S,gentamicin=R,imipenem=S,meropenem=S,tigecycline=NS,trimethoprim-sulfamethoxazole=R;PDT002391511.1;Tunisia: Sfax;blood
SRR30762177;2010;amikacin=R,amoxicillin=R,cefotaxime=R,ceftazidime-avibactam=S,ceftazidime=R,ciprofloxacin=R,colistin=S,gentamicin=R,imipenem=S,meropenem=S,tigecycline=NS,trimethoprim-sulfamethoxazole=R;PDT002391434.1;Tunisia: Sfax;blood
SRR30762188;2010;amikacin=S,amoxicillin=R,cefotaxime=R,ceftazidime-avibactam=S,ceftazidime=R,ciprofloxacin=R,colistin=S,gentamicin=R,imipenem=S,meropenem=S,tigecycline=SDD,trimethoprim-sulfamethoxazole=I;PDT002391445.1;Tunisia: Sfax;blood
SRR30762210;2010;amikacin=S,amoxicillin=R,cefotaxime=S,ceftazidime-avibactam=S,ceftazidime=R,colistin=S,gentamicin=S,imipenem=S,meropenem=S,tigecycline=SDD,trimethoprim-sulfamethoxazole=R;PDT002391467.1;Tunisia: Sfax;blood
SRR30762221;2010;amikacin=R,amoxicillin=R,cefotaxime=I,ceftazidime-avibactam=S,ceftazidime=I,colistin=S,gentamicin=R,imipenem=S,meropenem=S,tigecycline=NS,trimethoprim-sulfamethoxazole=R;PDT002391478.1;Tunisia: Sfax;blood
SRR30762232;2010;amikacin=R,amoxicillin=R,cefotaxime=R,ceftazidime-avibactam=S,ceftazidime=R,ciprofloxacin=R,colistin=S,gentamicin=R,imipenem=S,meropenem=S,tigecycline=NS,trimethoprim-sulfamethoxazole=R;PDT002391489.1;Tunisia: Sfax;blood
SRR30762166;2011;amikacin=S,amoxicillin=R,cefotaxime=R,ceftazidime-avibactam=S,ceftazidime=R,ciprofloxacin=R,colistin=S,gentamicin=R,imipenem=S,meropenem=S,nitrofurantoin=S,tigecycline=SDD,trimethoprim-sulfamethoxazole=R;PDT002391423.1;Tunisia: Sfax;blood
SRR30762251;2011;amikacin=S,amoxicillin=R,cefotaxime=I,ceftazidime-avibactam=S,ceftazidime=R,ciprofloxacin=R,colistin=R,gentamicin=R,imipenem=S,meropenem=S,nitrofurantoin=S,tigecycline=SDD,trimethoprim-sulfamethoxazole=R;PDT002391508.1;Tunisia: Sfax;blood
SRR30762252;2011;amikacin=R,amoxicillin=R,cefotaxime=R,ceftazidime-avibactam=S,ceftazidime=R,ciprofloxacin=R,colistin=S,gentamicin=R,imipenem=S,meropenem=R,nitrofurantoin=R,tigecycline=SDD,trimethoprim-sulfamethoxazole=I;PDT002391509.1;Tunisia: Sfax;blood
