Run,Collection_date,Year,Isolate,Location,Isolation_source,amikacin,ciprofloxacin,ceftazidime,meropenem
SRR30762255,2005,2005,PDT002391512.1,Tunisia: Sfax,blood,1.0,1.0,1.0,1.0
SRR30762243,2009,2009,PDT002391500.1,Tunisia: Sfax,blood,1.0,1.0,1.0,0.0
SRR30762254,2009,2009,PDT002391511.1,Tunisia: Sfax,blood,1.0,1.0,1.0,0.0
SRR30762177,2010,2010,PDT002391434.1,Tunisia: Sfax,blood,1.0,1.0,1.0,0.0
SRR30762188,2010,2010,PDT002391445.1,Tunisia: Sfax,blood,0.0,1.0,1.0,0.0
SRR30762210,2010,2010,PDT002391467.1,Tunisia: Sfax,blood,0.0,,1.0,0.0
SRR30762221,2010,2010,PDT002391478.1,Tunisia: Sfax,blood,1.0,,,0.0
SRR30762232,2010,2010,PDT002391489.1,Tunisia: Sfax,blood,1.0,1.0,1.0,0.0
SRR30762166,2011,2011,PDT002391423.1,Tunisia: Sfax,blood,0.0,1.0,1.0,0.0
SRR30762251,2011,2011,PDT002391508.1,Tunisia: Sfax,blood,0.0,1.0,1.0,0.0
SRR30762252,2011,2011,PDT002391509.1,Tunisia: Sfax,blood,1.0,1.0,1.0,1.0
SRR30762253,2011,2011,PDT002391510.1,Tunisia: Sfax,blood,0.0,1.0,1.0,1.0
SRR2134680,2012,2012,PDT000077414.3,USA:Boston,urine,1.0,1.0,1.0,0.0
SRR3185093,2012,2012,PDT000111516.2,Honduras,respiratory,1.0,1.0,1.0,
SRR30762246,2012,2012,PDT002391503.1,Tunisia: Sfax,blood,0.0,1.0,1.0,0.0
SRR30762247,2012,2012,PDT002391504.1,Tunisia: Sfax,blood,0.0,0.0,1.0,0.0
SRR30762248,2012,2012,PDT002391505.1,Tunisia: Sfax,blood,0.0,1.0,1.0,1.0
SRR30762249,2012,2012,PDT002391506.1,Tunisia: Sfax,blood,0.0,1.0,1.0,1.0
SRR30762250,2012,2012,PDT002391507.1,Tunisia: Sfax,blood,0.0,1.0,1.0,0.0
SRR5082458,2013,2013,PDT000881524.1,Australia: Melbourne,urine,,,0.0,
SRR5082468,2013,2013,PDT000881533.1,Australia: Melbourne,rectal swab,,,0.0,
SRR30762236,2013,2013,PDT002391493.1,Tunisia: Sfax,blood,0.0,0.0,0.0,0.0
SRR30762237,2013,2013,PDT002391494.1,Tunisia: Sfax,blood,1.0,0.0,0.0,0.0
SRR30762238,2013,2013,PDT002391495.1,Tunisia: Sfax,blood,0.0,1.0,1.0,0.0
SRR30762239,2013,2013,PDT002391496.1,Tunisia: Sfax,blood,0.0,1.0,1.0,1.0
SRR30762240,2013,2013,PDT002391497.1,Tunisia: Sfax,blood,0.0,0.0,0.0,0.0
SRR30762241,2013,2013,PDT002391498.1,Tunisia: Sfax,blood,0.0,1.0,1.0,0.0
SRR30762242,2013,2013,PDT002391499.1,Tunisia: Sfax,blood,0.0,1.0,1.0,1.0
SRR30762244,2013,2013,PDT002391501.1,Tunisia: Sfax,blood,1.0,,1.0,0.0
SRR30762245,2013,2013,PDT002391502.1,Tunisia: Sfax,blood,0.0,1.0,1.0,1.0
SRR5082445,2014,2014,PDT000881515.1,Australia: Melbourne,urine,,,0.0,
SRR5082447,2014,2014,PDT000881516.1,Australia: Melbourne,sputum,,,0.0,
SRR5082453,2014,2014,PDT000881521.1,Australia: Melbourne,wound,,,0.0,
SRR5082461,2014,2014,PDT000881527.1,Australia: Melbourne,sputum,,,0.0,
SRR30762226,2014,2014,PDT002391483.1,Tunisia: Sfax,blood,1.0,1.0,1.0,1.0
SRR30762227,2014,2014,PDT002391484.1,Tunisia: Sfax,blood,0.0,1.0,1.0,0.0
SRR30762228,2014,2014,PDT002391485.1,Tunisia: Sfax,blood,0.0,1.0,1.0,
SRR30762229,2014,2014,PDT002391486.1,Tunisia: Sfax,blood,0.0,1.0,1.0,1.0
SRR30762230,2014,2014,PDT002391487.1,Tunisia: Sfax,blood,0.0,1.0,1.0,0.0
SRR30762231,2014,2014,PDT002391488.1,Tunisia: Sfax,blood,0.0,0.0,1.0,0.0
SRR30762233,2014,2014,PDT002391490.1,Tunisia: Sfax,blood,1.0,1.0,1.0,
SRR30762234,2014,2014,PDT002391491.1,Tunisia: Sfax,blood,1.0,1.0,1.0,1.0
SRR30762235,2014,2014,PDT002391492.1,Tunisia: Sfax,blood,0.0,1.0,1.0,0.0
SRR2134674,2015,2015,PDT000077408.3,USA:Boston,ulcer,1.0,1.0,1.0,1.0
SRR2134679,2015,2015,PDT000077413.3,USA:Boston,wound,1.0,1.0,1.0,1.0
SRR2449251,2015,2015,PDT000084303.3,USA:Boston,urine,0.0,1.0,1.0,
SRR2449299,2015,2015,PDT000084306.3,USA:Boston,sputum,0.0,1.0,1.0,1.0
SRR2449365,2015,2015,PDT000084309.3,USA:Boston,rectal,1.0,1.0,1.0,1.0
SRR3057129,2015,2015,PDT000101134.2,USA:Boston,trachael aspirate,0.0,0.0,1.0,1.0
SRR3057130,2015,2015,PDT000101135.2,USA:Boston,trachael aspirate,0.0,0.0,0.0,0.0
SRR3095383,2015,2015,PDT000102016.2,USA:Boston,urine,0.0,0.0,1.0,
SRR3168635,2015,2015,PDT000107928.2,USA:Boston,urine,0.0,0.0,0.0,0.0
SRR3168636,2015,2015,PDT000107929.2,USA:Boston,urine,0.0,0.0,0.0,0.0
SRR3168637,2015,2015,PDT000107930.2,USA:Boston,abdominal,0.0,0.0,0.0,0.0
SRR26887353,2015,2015,PDT001992399.1,"Canada: Hamilton, Ontario",Not collected,,,0.0,
SRR26887386,2015,2015,PDT001992432.1,"Canada: Hamilton, Ontario",Not collected,,,0.0,
SRR26887393,2015,2015,PDT001992439.1,"Canada: Hamilton, Ontario",Not collected,,,0.0,
SRR26887395,2015,2015,PDT001992441.1,"Canada: Hamilton, Ontario",Not collected,,,0.0,
SRR26887419,2015,2015,PDT001992465.1,"Canada: Hamilton, Ontario",Not collected,,,0.0,
SRR26887430,2015,2015,PDT001992476.1,"Canada: Hamilton, Ontario",Not collected,,,0.0,
SRR26887441,2015,2015,PDT001992487.1,"Canada: Hamilton, Ontario",Not collected,,,0.0,
SRR26887452,2015,2015,PDT001992498.1,"Canada: Hamilton, Ontario",Not collected,,,0.0,
SRR26887520,2015,2015,PDT001992565.1,"Canada: Hamilton, Ontario",Not collected,,,0.0,
SRR26887534,2015,2015,PDT001992579.1,"Canada: Hamilton, Ontario",Not collected,,,0.0,
SRR26887548,2015,2015,PDT001992593.1,"Canada: Hamilton, Ontario",Not collected,,,0.0,
SRR26887551,2015,2015,PDT001992596.1,"Canada: Hamilton, Ontario",Not collected,,,0.0,
SRR26887558,2015,2015,PDT001992603.1,"Canada: Hamilton, Ontario",Not collected,,,0.0,
SRR26887629,2015,2015,PDT001992673.1,"Canada: Hamilton, Ontario",Not collected,,,0.0,
SRR26887630,2015,2015,PDT001992674.1,"Canada: Hamilton, Ontario",Not collected,,,0.0,
SRR26887652,2015,2015,PDT001992696.1,"Canada: Hamilton, Ontario",Not collected,,,0.0,
SRR26887663,2015,2015,PDT001992707.1,"Canada: Hamilton, Ontario",Not collected,,,0.0,
SRR26887665,2015,2015,PDT001992709.1,"Canada: Hamilton, Ontario",Not collected,,,0.0,
SRR26887666,2015,2015,PDT001992710.1,"Canada: Hamilton, Ontario",Not collected,,,0.0,
