feature,type,consensus_score,n_supporting_models,supporting_models,avg_rank,avg_importance
gyrA_S83I,AMR Gene,1249.5295,2,"xgboost, lightgbm",25.5,48.0012
blaTEM-1,AMR Gene,993.7944,2,"xgboost, lightgbm",24.5,36.5017
ybtP,AMR Gene,928.3141,2,"xgboost, lightgbm",27.5,38.5027
merE,AMR Gene,620.5871,2,"xgboost, lightgbm",34.0,35.5051
clpK,AMR Gene,603.7815,2,"xgboost, lightgbm",16.5,16.5009
blaKPC-2,AMR Gene,569.3428,2,"xgboost, lightgbm",45.5,102.5169
ompK36_D135DGD,AMR Gene,549.1039,2,"xgboost, lightgbm",45.0,90.5173
blaCTX-M-15,AMR Gene,527.3531,2,"xgboost, lightgbm",32.5,27.5056
qnrB1,AMR Gene,495.0887,2,"xgboost, lightgbm",18.0,14.0027
arr-3,AMR Gene,494.1029,2,"xgboost, lightgbm",25.0,18.004
tet(D),AMR Gene,472.091,2,"xgboost, lightgbm",35.0,28.5057
blaKPC-3,AMR Gene,471.3041,2,"xgboost, lightgbm",48.5,187.5217
dfrA12,AMR Gene,450.5,1,lightgbm,34.0,52.0
aac(6')-Ib-cr5,AMR Gene,440.0996,2,"xgboost, lightgbm",35.0,26.5062
ble,AMR Gene,410.0835,2,"xgboost, lightgbm",47.0,101.5209
qacEdelta1,AMR Gene,408.5,1,lightgbm,32.0,42.0
pcoC,AMR Gene,399.0,1,lightgbm,37.0,56.0
terE,AMR Gene,382.6189,2,"xgboost, lightgbm",25.5,14.0047
oqxB,AMR Gene,377.0,1,lightgbm,25.0,28.0
armA,AMR Gene,376.1178,2,"xgboost, lightgbm",27.5,15.005
aadA1,AMR Gene,366.1011,2,"xgboost, lightgbm",39.0,29.5084
aph(3')-Ia,AMR Gene,348.1346,2,"xgboost, lightgbm",27.0,13.5056
blaOXA,AMR Gene,336.0,1,lightgbm,23.0,23.0
sul2,AMR Gene,333.5,1,lightgbm,28.0,28.0
aph(3'')-Ib,AMR Gene,319.0,1,lightgbm,22.0,21.0
gyrA_S83F,AMR Gene,292.6308,2,"xgboost, lightgbm",43.5,38.0174
iroB,AMR Gene,272.0,1,lightgbm,19.0,16.0
hsp20,AMR Gene,264.0,1,lightgbm,18.0,15.0
blaSHV-11,AMR Gene,255.0,1,lightgbm,17.0,14.0
parC_S80I,AMR Gene,252.8075,2,"xgboost, lightgbm",41.5,25.6113
catA1,AMR Gene,231.1342,2,"xgboost, lightgbm",18.0,6.0041
blaOXA-48,AMR Gene,225.113,2,"xgboost, lightgbm",13.5,5.003
aph(6)-Id,AMR Gene,215.166,2,"xgboost, lightgbm",29.5,9.0077
aac(3)-IIe,AMR Gene,214.5,1,lightgbm,12.0,10.0
oqxB19,AMR Gene,211.5703,2,"xgboost, lightgbm",44.5,31.5493
merA,AMR Gene,210.0911,2,"xgboost, lightgbm",9.0,4.0022
cmlA5,AMR Gene,209.0,1,lightgbm,13.0,10.0
arsR,AMR Gene,198.0529,2,"xgboost, lightgbm",7.0,3.5012
sul1,AMR Gene,196.1822,2,"xgboost, lightgbm",26.5,7.0074
aac(6')-Ib,AMR Gene,195.9642,2,"xgboost, lightgbm",46.5,42.5476
silB,AMR Gene,180.0,1,lightgbm,6.0,7.0
merC,AMR Gene,180.0,1,lightgbm,11.0,8.0
aadA2,AMR Gene,176.0843,2,"xgboost, lightgbm",32.5,8.5181
mph(A),AMR Gene,176.0,1,lightgbm,7.0,7.0
merP,AMR Gene,168.0,1,lightgbm,9.0,7.0
terB,AMR Gene,161.0,1,lightgbm,5.0,6.0
arr-2,AMR Gene,141.0,1,lightgbm,4.0,5.0
gyrA_D87N,AMR Gene,122.5,1,lightgbm,2.0,4.0
terD,AMR Gene,120.0,1,lightgbm,3.0,4.0
dfrA14,AMR Gene,100.0,1,lightgbm,1.0,3.0
