kmer,importance
kmer_6324,0.011280329
kmer_8248,0.0110716205
kmer_8684,0.010421791
kmer_6320,0.010217109
kmer_8683,0.009714494
kmer_5304,0.0096990615
kmer_9896,0.0095468685
kmer_8682,0.009427761
kmer_6352,0.009405911
kmer_8253,0.009378015
kmer_9068,0.009325047
kmer_9287,0.009311581
kmer_5297,0.009161909
kmer_8933,0.009118677
kmer_8258,0.009086987
kmer_7097,0.009008562
kmer_8451,0.009008484
kmer_9486,0.009008318
kmer_7646,0.008884617
kmer_4940,0.008810389
kmer_8681,0.00880717
kmer_8196,0.0087393345
kmer_6354,0.00872456
kmer_5409,0.008707623
kmer_8512,0.00867437
kmer_5074,0.008652972
kmer_9282,0.008593206
kmer_2972,0.00854065
kmer_9575,0.008527591
kmer_8111,0.008494197
kmer_4932,0.008487106
kmer_9286,0.008474745
kmer_7080,0.008474079
kmer_6165,0.008470264
kmer_9060,0.008414548
kmer_2556,0.008396192
kmer_9872,0.00838031
kmer_8256,0.008372319
kmer_4867,0.008371682
kmer_742,0.008360726
kmer_8679,0.008343181
kmer_5077,0.008293087
kmer_4007,0.008289869
kmer_8691,0.008243273
kmer_6640,0.008220715
kmer_8440,0.008214975
kmer_7648,0.008195551
kmer_8453,0.00818358
kmer_8147,0.008174748
kmer_5089,0.00813974
kmer_6946,0.008137354
kmer_6662,0.008115789
kmer_8171,0.008107594
kmer_7754,0.008094626
kmer_8505,0.008080329
kmer_1300,0.008077255
kmer_9073,0.008076137
kmer_2872,0.008054309
kmer_8584,0.008053214
kmer_9804,0.008049525
kmer_6708,0.008047632
kmer_7257,0.0080456305
kmer_8825,0.008033357
kmer_5299,0.008021764
kmer_9481,0.008019221
kmer_2553,0.007984549
kmer_3881,0.007983761
kmer_8254,0.007981831
kmer_8976,0.007976874
kmer_5145,0.007965273
kmer_6709,0.0079650385
kmer_9756,0.007960401
kmer_9067,0.007948368
kmer_8107,0.007936786
kmer_6426,0.007931351
kmer_8524,0.007910158
kmer_8112,0.007904322
kmer_7593,0.007886468
kmer_8172,0.007869848
kmer_6660,0.0078470325
kmer_8255,0.007843671
kmer_5701,0.007843069
kmer_8686,0.007840707
kmer_6346,0.007834395
kmer_7209,0.0078114877
kmer_5180,0.0078070397
kmer_5289,0.0078036627
kmer_8251,0.0077973916
kmer_7768,0.0077969623
kmer_8588,0.007795782
kmer_9317,0.0077952044
kmer_8928,0.007794707
kmer_3700,0.0077833678
kmer_9069,0.0077699474
kmer_9452,0.007769782
kmer_9512,0.0077524716
kmer_4865,0.0077463025
kmer_9915,0.007741534
kmer_6727,0.007736542
kmer_8252,0.0077152797
kmer_4931,0.0077109584
kmer_8804,0.007708042
kmer_8947,0.0077052936
kmer_9677,0.0077044507
kmer_7210,0.007702224
kmer_3880,0.0076904497
kmer_8262,0.007688451
kmer_9075,0.0076873256
kmer_8260,0.0076764124
kmer_9062,0.0076682842
kmer_8106,0.007651038
kmer_8981,0.007646036
kmer_9509,0.0076430636
kmer_9059,0.007626871
kmer_9057,0.007619068
kmer_9634,0.007615206
kmer_6326,0.0076142857
kmer_9305,0.0076083257
kmer_4555,0.007606531
kmer_8813,0.0075971773
kmer_5012,0.0075951577
kmer_8680,0.0075896936
kmer_8986,0.007586693
kmer_9894,0.007573685
kmer_1299,0.0075677685
kmer_4925,0.0075604776
kmer_9514,0.0075541115
kmer_7102,0.007553485
kmer_7626,0.0075502223
kmer_7104,0.0075475415
kmer_2056,0.007544071
kmer_8455,0.0075403964
kmer_2012,0.0075364066
kmer_2105,0.0075349635
kmer_6118,0.007520451
kmer_7349,0.0075202174
kmer_8513,0.0075185588
kmer_9759,0.00751711
kmer_4009,0.0075053745
kmer_4008,0.0075038546
kmer_8930,0.0074994904
kmer_7645,0.0074924342
kmer_4891,0.0074883136
kmer_870,0.0074801883
kmer_5144,0.0074790246
kmer_8736,0.0074743214
kmer_8149,0.0074741906
kmer_7630,0.007474076
kmer_4930,0.0074724844
kmer_8903,0.007472007
kmer_9805,0.007469163
kmer_6295,0.0074685076
kmer_7211,0.007463859
kmer_8779,0.0074587166
kmer_8219,0.0074544
kmer_9764,0.007453281
kmer_8984,0.007450911
kmer_8808,0.0074479757
kmer_1773,0.0074472283
kmer_7378,0.007435002
kmer_8109,0.0074348203
kmer_8773,0.0074335895
kmer_9485,0.007425084
kmer_2808,0.0074214223
kmer_7589,0.007421303
kmer_9070,0.007421185
kmer_9362,0.007418562
kmer_4010,0.0074183894
kmer_8261,0.0074091665
kmer_5261,0.0074075973
kmer_7105,0.0074056066
kmer_9904,0.007405589
kmer_5401,0.007391881
kmer_8249,0.0073913815
kmer_7628,0.007390694
kmer_9285,0.007386395
kmer_4887,0.007373595
kmer_8509,0.007372896
kmer_7267,0.0073691495
kmer_7964,0.007363288
kmer_8931,0.007360983
kmer_9064,0.007360919
kmer_8294,0.00735807
