kmer,importance
kmer_9159,0.015516911
kmer_9155,0.013825147
kmer_9156,0.013734189
kmer_5111,0.01334259
kmer_8610,0.01297725
kmer_5108,0.0126399
kmer_9747,0.012600968
kmer_4795,0.012549327
kmer_9161,0.012333232
kmer_97,0.012253658
kmer_92,0.01212903
kmer_5904,0.012078151
kmer_9742,0.011922283
kmer_7655,0.011911046
kmer_5919,0.011683009
kmer_5225,0.011648667
kmer_5835,0.011638442
kmer_8252,0.0116060255
kmer_5223,0.011588635
kmer_5918,0.01157292
kmer_88,0.011533595
kmer_96,0.011453499
kmer_9671,0.011445126
kmer_9154,0.011439524
kmer_8813,0.011435752
kmer_91,0.011417758
kmer_9020,0.011369879
kmer_5903,0.011315004
kmer_9741,0.011313699
kmer_9738,0.011273376
kmer_7172,0.011271579
kmer_9666,0.011271567
kmer_7587,0.0112288175
kmer_8769,0.011221159
kmer_7616,0.011210575
kmer_9203,0.011199038
kmer_8455,0.011179472
kmer_5220,0.011177303
kmer_9739,0.011143119
kmer_1864,0.011135967
kmer_7190,0.011124314
kmer_7619,0.011118761
kmer_7678,0.011096291
kmer_1862,0.0110825775
kmer_9014,0.011081498
kmer_9882,0.011080142
kmer_9880,0.01107646
kmer_4408,0.011074819
kmer_6423,0.011060426
kmer_7612,0.011054104
kmer_4404,0.011044212
kmer_8614,0.011033643
kmer_6410,0.011027641
kmer_9160,0.011020078
kmer_93,0.011011436
kmer_7607,0.011001998
kmer_9876,0.011000685
kmer_4787,0.0109969815
kmer_9421,0.010965043
kmer_1860,0.010964105
kmer_1861,0.010949124
kmer_6416,0.010932725
kmer_7348,0.0109253405
kmer_8611,0.010919637
kmer_7194,0.010910281
kmer_9828,0.010895547
kmer_1863,0.010889295
kmer_9011,0.010866431
kmer_5229,0.010861877
kmer_9929,0.010860714
kmer_9201,0.010856004
kmer_94,0.010844347
kmer_7268,0.010820604
kmer_4790,0.010812139
kmer_1856,0.010811898
kmer_5014,0.010809319
kmer_7987,0.010805681
kmer_6415,0.0108052045
kmer_6027,0.010801488
kmer_9018,0.010800002
kmer_8817,0.010795608
kmer_6523,0.010794801
kmer_8544,0.010793165
kmer_95,0.010771691
kmer_1865,0.01076503
kmer_9351,0.010762891
kmer_5224,0.0107590845
kmer_1859,0.010749459
kmer_6581,0.010746716
kmer_8771,0.010739873
kmer_9694,0.010734692
kmer_7261,0.010729552
kmer_8062,0.01072639
kmer_8616,0.010725607
kmer_8811,0.010724544
kmer_9152,0.010717473
kmer_3067,0.01071536
kmer_8825,0.010714827
kmer_90,0.010712145
kmer_8456,0.010706797
kmer_8603,0.010700624
kmer_2410,0.010698184
kmer_8613,0.010694536
kmer_8951,0.010691173
kmer_8547,0.010684444
kmer_5764,0.01067849
kmer_5700,0.010674249
kmer_5625,0.010670215
kmer_6280,0.01066481
kmer_87,0.010661673
kmer_5235,0.010660496
kmer_9735,0.010653477
kmer_86,0.010652353
kmer_7575,0.010651844
kmer_8852,0.010651802
kmer_6585,0.010647827
kmer_7657,0.010646141
kmer_8812,0.010636402
kmer_9740,0.010631762
kmer_4146,0.010614677
kmer_5923,0.010610876
kmer_7195,0.010603793
kmer_9197,0.0105943605
kmer_8827,0.010593792
kmer_4758,0.010593367
kmer_7169,0.010587842
kmer_100,0.010587529
kmer_4753,0.01058179
kmer_7666,0.010579678
kmer_4150,0.010577198
kmer_8818,0.010576948
kmer_4783,0.010576078
kmer_6489,0.010573302
kmer_4405,0.01057168
kmer_2196,0.010565777
kmer_7656,0.010564788
kmer_4154,0.010564305
kmer_4744,0.010561778
kmer_9884,0.0105569875
kmer_8607,0.010556064
kmer_5902,0.010553247
kmer_3904,0.01055225
kmer_8447,0.010551574
kmer_9879,0.010551417
kmer_3599,0.010547655
kmer_1855,0.010545773
kmer_5126,0.010540405
kmer_4786,0.010536182
kmer_7262,0.010533101
kmer_5909,0.010531468
kmer_7667,0.010529395
kmer_8776,0.0105262995
kmer_2693,0.010517543
kmer_7620,0.010515231
kmer_5921,0.010513439
kmer_7352,0.010512997
kmer_6562,0.010506673
kmer_2192,0.010503004
kmer_4400,0.01049915
kmer_6307,0.010488984
kmer_7263,0.010487419
kmer_9672,0.010486148
kmer_4779,0.010482143
kmer_9835,0.01047092
kmer_9519,0.010468997
kmer_6493,0.010468316
kmer_7192,0.010467759
kmer_5910,0.010464599
kmer_4479,0.0104633495
kmer_9659,0.010462363
kmer_9013,0.010458036
kmer_7672,0.010456812
kmer_5583,0.010456701
kmer_8830,0.010455357
kmer_5052,0.010451704
kmer_5907,0.010444947
kmer_6684,0.010443019
kmer_6118,0.010442502
kmer_8159,0.010440215
kmer_6559,0.010437292
kmer_6088,0.0104364995
kmer_5840,0.010432461
kmer_3771,0.010429679
kmer_5112,0.010428239
kmer_9015,0.010426876
kmer_6522,0.01042603
kmer_9750,0.010424072
kmer_5620,0.0104226675
kmer_6414,0.010419821
kmer_7662,0.01041824
kmer_9373,0.010414011
kmer_5912,0.010411978
kmer_1858,0.010410074
kmer_4687,0.010409395
kmer_6583,0.010403139
kmer_9355,0.010401714
kmer_4799,0.010400477
kmer_9349,0.010400282
kmer_6563,0.010400244
kmer_4401,0.010400174
kmer_5908,0.010396011
kmer_8448,0.010392978
kmer_5922,0.010391923
kmer_5586,0.010391378
kmer_9662,0.010390497
kmer_6411,0.010389376
kmer_3617,0.010386456
kmer_5788,0.010376538
kmer_5769,0.010372585
kmer_7735,0.010372442
kmer_5915,0.0103665395
kmer_6417,0.010362125
kmer_324,0.010360866
kmer_8450,0.010359914
kmer_9195,0.010358464
kmer_9424,0.010355714
kmer_7663,0.01035497
kmer_9369,0.010353031
kmer_5953,0.010351934
kmer_9374,0.010351557
kmer_7191,0.010349482
kmer_7574,0.0103457505
kmer_9202,0.0103449775
kmer_9737,0.010344471
kmer_8802,0.010343574
kmer_9518,0.010333048
kmer_9427,0.010325502
kmer_6984,0.010325192
kmer_5901,0.010324628
kmer_8816,0.0103242295
kmer_7599,0.010323179
kmer_9236,0.010321921
kmer_5627,0.010319016
kmer_4402,0.010314605
kmer_7193,0.010311944
kmer_1857,0.010311408
kmer_9843,0.010311019
kmer_8618,0.010310348
kmer_7965,0.01030981
kmer_7573,0.010307372
kmer_4748,0.01030702
kmer_6576,0.010305487
kmer_8548,0.010302804
kmer_8551,0.010299505
kmer_6418,0.010296772
kmer_5911,0.010294208
kmer_1868,0.010293691
kmer_5055,0.010293178
kmer_3907,0.010292337
kmer_4749,0.010286323
kmer_4788,0.010285806
kmer_3482,0.010284416
kmer_4789,0.010284221
kmer_5228,0.010283202
kmer_8465,0.0102817975
kmer_3619,0.010280846
kmer_5219,0.010280097
kmer_6284,0.010277813
kmer_8451,0.010277262
kmer_3635,0.01027224
kmer_9885,0.010269062
kmer_9746,0.0102670295
kmer_4665,0.010264943
kmer_7605,0.010262849
kmer_6688,0.010261584
kmer_9652,0.010257351
kmer_9331,0.010252227
kmer_9655,0.010251623
kmer_5218,0.010251349
kmer_4399,0.010250163
kmer_7658,0.010245718
kmer_9163,0.010244705
kmer_8356,0.010242094
kmer_7167,0.010238819
kmer_3613,0.010232903
kmer_3207,0.010232466
kmer_6306,0.010231505
kmer_9434,0.010230154
kmer_7579,0.010229542
kmer_9647,0.010227381
kmer_7601,0.010227358
kmer_7572,0.010227084
kmer_4781,0.010225674
kmer_1898,0.010222449
kmer_7583,0.0102205835
kmer_1867,0.010219666
kmer_8115,0.010217401
kmer_7186,0.010215564
kmer_8760,0.010211616
kmer_4750,0.010208138
kmer_4780,0.010207068
kmer_5105,0.010206817
kmer_5905,0.010205034
kmer_8247,0.010204611
kmer_5222,0.010202955
kmer_5231,0.010201429
