kmer,importance
kmer_7459,0.011374546
kmer_1005,0.011314601
kmer_1006,0.011109111
kmer_6367,0.010845057
kmer_6368,0.009509152
kmer_8443,0.009437892
kmer_6102,0.009310527
kmer_994,0.009133002
kmer_6103,0.009080238
kmer_2882,0.009010694
kmer_948,0.008827602
kmer_8198,0.00876562
kmer_7465,0.008695179
kmer_9378,0.008514356
kmer_7011,0.008494151
kmer_8630,0.008440396
kmer_8201,0.008392186
kmer_9090,0.008345657
kmer_942,0.008341842
kmer_947,0.008308333
kmer_8011,0.008241199
kmer_8846,0.008197502
kmer_1003,0.008191603
kmer_5240,0.008181871
kmer_4243,0.00817082
kmer_8446,0.008077039
kmer_9819,0.008056884
kmer_7012,0.008053745
kmer_4686,0.0080338195
kmer_941,0.008028588
kmer_4988,0.007984119
kmer_4315,0.007974819
kmer_993,0.007970868
kmer_9462,0.007956458
kmer_7099,0.007899336
kmer_6366,0.00788107
kmer_5171,0.007866725
kmer_3439,0.00783294
kmer_6107,0.007815447
kmer_8250,0.007791539
kmer_8195,0.0077876784
kmer_1839,0.0077862185
kmer_8629,0.0077647013
kmer_5836,0.0077590803
kmer_999,0.00774153
kmer_5775,0.00774035
kmer_7712,0.0077287075
kmer_4986,0.007725682
kmer_7895,0.007710405
kmer_940,0.0077086943
kmer_7037,0.0077056834
kmer_8444,0.007696703
kmer_939,0.0076911408
kmer_949,0.007654724
kmer_996,0.007650479
kmer_9150,0.0076374
kmer_5391,0.007632873
kmer_8024,0.0076240664
kmer_8632,0.0076190713
kmer_590,0.007616796
kmer_9386,0.0076012686
kmer_6784,0.0075884475
kmer_9083,0.007573862
kmer_8627,0.0075592385
kmer_4316,0.0075564957
kmer_8454,0.0075539197
kmer_995,0.007549719
kmer_8456,0.0075423606
kmer_9822,0.0075407806
kmer_9087,0.0075319847
kmer_9486,0.0075310403
kmer_5238,0.007526319
kmer_1849,0.0075239777
kmer_6364,0.0075230296
kmer_997,0.007517595
kmer_8581,0.0075169946
kmer_6287,0.0075146514
kmer_4503,0.007513459
kmer_4520,0.007511401
kmer_992,0.0075075007
kmer_946,0.007501723
kmer_7899,0.007500298
kmer_6146,0.0074932417
kmer_8618,0.007490733
kmer_6154,0.0074901753
kmer_4983,0.0074863965
kmer_9934,0.007474068
kmer_7462,0.007473296
kmer_4683,0.0074674976
kmer_4991,0.0074544335
kmer_4556,0.007452685
kmer_8197,0.0074467547
kmer_1000,0.0074449508
kmer_5723,0.0074349274
kmer_6884,0.007431488
kmer_6285,0.0074305525
kmer_4679,0.0074300626
kmer_3283,0.0074239424
kmer_9251,0.0073877457
kmer_9475,0.0073873377
kmer_5720,0.0073771817
kmer_9959,0.007362519
kmer_8447,0.0073615336
kmer_5711,0.007356254
kmer_8360,0.007354676
kmer_9459,0.007351137
kmer_4554,0.007350475
kmer_9089,0.0073452056
kmer_4552,0.0073446077
kmer_8975,0.007334267
kmer_7511,0.007332643
kmer_9993,0.0073198103
kmer_5726,0.0073099164
kmer_950,0.007305027
kmer_7101,0.0073046763
kmer_9469,0.0073023373
kmer_2190,0.0073003406
kmer_8192,0.0072919386
kmer_9686,0.007291542
kmer_4244,0.0072909696
kmer_5921,0.0072883195
