kmer,importance
kmer_2628,0.01333013
kmer_8107,0.012753367
kmer_9785,0.0110629955
kmer_8980,0.011028139
kmer_2627,0.010963724
kmer_1361,0.010866064
kmer_8444,0.010476904
kmer_2626,0.010445305
kmer_8717,0.010310555
kmer_8145,0.010307633
kmer_5037,0.010288781
kmer_9141,0.010089358
kmer_1843,0.010070637
kmer_9517,0.010013765
kmer_8978,0.009996129
kmer_9292,0.009960696
kmer_6317,0.009866543
kmer_8899,0.009854762
kmer_8979,0.009846767
kmer_8616,0.009783706
kmer_8376,0.009757808
kmer_9632,0.009721937
kmer_9631,0.009694365
kmer_9633,0.0096673155
kmer_8443,0.00956389
kmer_8685,0.0095165465
kmer_9137,0.009506071
kmer_2629,0.009487209
kmer_9294,0.009471295
kmer_3103,0.009469198
kmer_6071,0.009467187
kmer_3809,0.009369591
kmer_9293,0.009366548
kmer_8445,0.009287656
kmer_8352,0.009287382
kmer_6905,0.009270766
kmer_8622,0.009261688
kmer_9781,0.009217352
kmer_5041,0.009206725
kmer_9658,0.009184117
kmer_6313,0.009175314
kmer_8382,0.00915637
kmer_6776,0.009144254
kmer_8741,0.009127869
kmer_6921,0.009116569
kmer_9925,0.009099982
kmer_6307,0.009090947
kmer_5837,0.009090791
kmer_5864,0.009054906
kmer_6535,0.009023316
kmer_8714,0.009017563
kmer_9146,0.009014681
kmer_3499,0.009006917
kmer_4755,0.009006048
kmer_4124,0.009004414
kmer_8403,0.00900126
kmer_7987,0.008995021
kmer_6874,0.0089779245
kmer_8733,0.008949382
kmer_8715,0.008948335
kmer_8116,0.008933579
kmer_7572,0.008906046
kmer_8713,0.00890373
kmer_9516,0.008885284
kmer_8682,0.008882272
kmer_9287,0.008881696
kmer_9135,0.00888139
kmer_3429,0.008879075
kmer_4909,0.008878319
kmer_3500,0.008863231
kmer_8347,0.008851472
kmer_7604,0.008849679
kmer_4754,0.008845733
kmer_8380,0.008831542
kmer_6872,0.00880914
kmer_4125,0.008805817
kmer_8383,0.008792236
kmer_9935,0.008780872
kmer_8658,0.008780547
kmer_5445,0.008767453
kmer_9297,0.00876131
kmer_6137,0.008752414
kmer_2603,0.008745604
kmer_3497,0.008743993
kmer_8729,0.008733525
kmer_9705,0.008732344
kmer_8109,0.008727593
kmer_7611,0.008724386
kmer_4632,0.008719045
kmer_5039,0.008716723
kmer_6308,0.008714279
kmer_3458,0.008700235
kmer_8690,0.008681583
kmer_9460,0.008679236
kmer_6868,0.008676892
kmer_9521,0.008672495
kmer_9295,0.008667781
kmer_8971,0.008667774
kmer_9859,0.008661613
kmer_8400,0.0086487625
kmer_9284,0.008624979
kmer_6060,0.00862476
kmer_8740,0.008624623
kmer_7606,0.008616145
