feature,importance,shap_mean,shap_std
gene_parC_S80I,0.8903652692741594,0.8903652692741594,0.39353416357036425
gene_blaCTX-M-15,0.8411042869988196,0.8411042869988196,0.6139386163934013
gene_gyrA_S83T,0.40216189679562053,0.40216189679562053,0.6994277217170187
gene_qnrS1,0.22995765202416737,0.22995765202416737,0.4043201916489204
gene_blaTEM-1,0.2224684134763284,0.2224684134763284,0.2453660109873368
gene_blaSHV-11,0.1739663996405783,0.1739663996405783,0.09603585733628697
gene_aadA1,0.1675147403755326,0.1675147403755326,0.19137214772454625
gene_catB3,0.15109510624469336,0.15109510624469336,0.13405807493481126
gene_blaSHV-12,0.13913357866524695,0.13913357866524695,0.27483099531711375
gene_blaKPC-3,0.12978420338990543,0.12978420338990543,0.014238023911328099
gene_blaKPC-2,0.11883956738830855,0.11883956738830855,0.24435834060144954
gene_blaSHV-1,0.11385893162861589,0.11385893162861589,0.07627700189432152
gene_dfrA14,0.1133709094027191,0.1133709094027191,0.11143423746449546
gene_ble,0.10549780804628565,0.10549780804628565,0.19500423290321348
gene_aph(6)-Id,0.07674275368172817,0.07674275368172817,0.058328247518630014
gene_iutA,0.07465658742158997,0.07465658742158997,0.0529310901781032
gene_oqxB,0.06925693107991275,0.06925693107991275,0.06044091536286654
gene_blaOXA-1,0.0662007983095475,0.0662007983095475,0.09310341865340102
gene_ampC-Kaer,0.06608464685025094,0.06608464685025094,0.1299521962642104
gene_blaOXA,0.06033632705401363,0.06033632705401363,0.10924660405157191
gene_arsR,0.05929443777136199,0.05929443777136199,0.04874043624625442
gene_iroB,0.056180875753486646,0.056180875753486646,0.08419755796769876
gene_sul2,0.05543528078473838,0.05543528078473838,0.06308150342366255
gene_merR,0.05245431646939831,0.05245431646939831,0.0633475762253967
gene_aac(6')-Ib-cr5,0.048752196747950956,0.048752196747950956,0.06881702196439939
gene_sul1,0.04669140802044351,0.04669140802044351,0.04871372339802425
gene_blaSHV,0.04430384832945976,0.04430384832945976,0.10725132163788485
gene_ybtP,0.04056897038387796,0.04056897038387796,0.02768003421996414
gene_silE,0.04018343770025679,0.04018343770025679,0.05334643145633576
gene_gyrA_S83F,0.03675357407443526,0.03675357407443526,0.08049074491592183
gene_gyrA_S83I,0.036329469547158835,0.036329469547158835,0.020281049742164534
gene_aac(6')-Ib,0.036054183582344745,0.036054183582344745,0.026976743426603132
