feature,importance
gene_oqxB,63
gene_pcoE,54
gene_clbB,50
gene_qnrB1,46
gene_qnrS1,45
gene_tet(D),44
gene_blaTEM-1,44
gene_gyrA_S83I,39
gene_blaCTX-M-15,38
gene_clpK,38
gene_iroB,38
gene_oqxB19,37
gene_ybtP,36
gene_ampC-Kaer,35
gene_aac(3)-IIe,33
gene_blaSHV-11,32
gene_gyrA_S83T,32
gene_parC_S80I,29
gene_tet(A),29
gene_oqxA,29
gene_aac(6')-Ib-cr5,29
gene_silE,25
gene_sul1,24
gene_blaSHV,22
gene_dfrA14,20
gene_silF,19
gene_blaOXA-1,18
gene_arsA,17
gene_qacEdelta1,17
gene_catA1,16
gene_arsR,16
gene_aph(3'')-Ib,13
gene_blaSHV-28,13
gene_arsB,13
gene_merR,13
gene_sul2,12
gene_aadA2,10
gene_hsp20,10
gene_arsD,10
gene_terE,9
gene_mph(A),9
gene_dfrA50,9
gene_aph(6)-Id,9
gene_merT,9
gene_terB,9
gene_arsC,8
gene_aac(6')-Ib,7
gene_merD,7
gene_blaKPC-3,7
gene_blaSHV-12,7
gene_pcoC,5
gene_ble,5
gene_blaSHV-1,5
gene_silP,4
gene_oqxB5,4
gene_pcoA,4
gene_gyrA_S83F,4
gene_dfrA12,4
gene_terD,4
gene_aadA1,4
gene_blaOXA,3
gene_merC,3
gene_ncrY,3
gene_merE,3
gene_merP,3
gene_ncrB,3
gene_silS,3
gene_silR,3
gene_merA,2
gene_blaTEM,2
gene_catB3,1
gene_pcoR,1
gene_gyrA_D87N,1
gene_blaNDM-1,1
gene_terC,1
gene_ompK36_Q70STOP,0
gene_ompK36_T136TDT,0
gene_ompK36_Q313STOP,0
gene_ompK36_G133D,0
gene_ompK36_D135DGD,0
gene_ompK36_D135DD,0
gene_oqxB14,0
gene_ompK35_W230STOP,0
gene_ompK35_E132K,0
gene_oqxB16,0
gene_nirB,0
gene_oqxB20,0
gene_oqxB25,0
gene_ncrC,0
gene_shsP,0
gene_oqxR_D95E,0
gene_ncrA,0
gene_oqxR_V113I,0
gene_msr(E),0
gene_mph(E),0
gene_mph(C),0
gene_ant(2'')-Ia,0
gene_parC_E84K,0
gene_papE,0
gene_oqxB32,0
gene_fosA,0
gene_arr-4,0
gene_arr-3,0
gene_arr-2,0
gene_arr,0
gene_armA,0
gene_aphA16,0
gene_aph(4)-Ia,0
gene_aph(3')-VIb,0
gene_aph(3')-VI,0
gene_iucC,0
gene_iucB,0
gene_iucA,0
gene_oqxB15,0
gene_iroN,0
gene_iroE,0
gene_mgrB_W47R,0
gene_mgrB_Q30STOP,0
gene_merF,0
gene_yfdX1,0
gene_merB,0
gene_mcr-9.1,0
gene_mchF,0
