feature,importance,shap_mean,shap_std
gene_blaKPC-3,0.76678747827132,0.76678747827132,0.08649722579070243
gene_blaKPC-2,0.4066366304686657,0.4066366304686657,0.5406202200445898
gene_ble,0.4058665199766994,0.4058665199766994,0.3022517896348105
gene_parC_S80I,0.32903951987466334,0.32903951987466334,0.13835256797871112
gene_ompK36_D135DGD,0.27824136086933743,0.27824136086933743,0.23014936866649452
gene_aac(6')-Ib,0.2583932267502385,0.2583932267502385,0.0674262223453684
gene_oqxB19,0.1614668480358752,0.1614668480358752,0.20024923781434817
gene_aadA1,0.087492441233014,0.087492441233014,0.05297270833948624
gene_aac(6')-Ib-cr5,0.08451420674882246,0.08451420674882246,0.031737313456271045
gene_gyrA_S83F,0.0629180339824228,0.0629180339824228,0.05567190412113302
gene_ybtP,0.06149398307361015,0.06149398307361015,0.03399314455147467
gene_merE,0.05734095940623698,0.05734095940623698,0.05373576049716063
gene_qacEdelta1,0.05604111635745238,0.05604111635745238,0.03593382056916761
gene_oqxB,0.04858732819307113,0.04858732819307113,0.023118495992543467
gene_terE,0.047398703385440125,0.047398703385440125,0.05091770620909215
gene_sul1,0.036833542581591674,0.036833542581591674,0.011301012690875235
gene_aadA2,0.036645572377064194,0.036645572377064194,0.029019330914371894
gene_aph(6)-Id,0.03631965306953378,0.03631965306953378,0.015679554127113922
gene_gyrA_S83I,0.0357269898264949,0.0357269898264949,0.040161867181868725
gene_aph(3'')-Ib,0.03187020126753834,0.03187020126753834,0.018805042796438853
gene_sul2,0.029923187988122667,0.029923187988122667,0.032036546110734254
gene_blaTEM-1,0.02985154454914743,0.02985154454914743,0.017428946427357518
gene_pcoC,0.025621488296210075,0.025621488296210075,0.009138765476765112
gene_armA,0.02425140771197823,0.02425140771197823,0.028351005321435842
gene_blaCTX-M-15,0.023620093423836735,0.023620093423836735,0.028199309425780715
gene_hsp20,0.022192857142205816,0.022192857142205816,0.007036270783775976
gene_arr-3,0.021149996392865716,0.021149996392865716,0.032939813858880736
gene_iroB,0.020312165252614714,0.020312165252614714,0.012734882525389424
gene_blaSHV-11,0.014178776925186345,0.014178776925186345,0.00863618222305024
gene_aac(3)-IIe,0.012693951454893973,0.012693951454893973,0.011366088693529019
gene_blaOXA,0.011926930669574698,0.011926930669574698,0.009451901720241246
gene_qnrB1,0.010918299335409514,0.010918299335409514,0.012336834415977504
gene_tet(D),0.010089317779533218,0.010089317779533218,0.01390374013766816
gene_clpK,0.007688718301867158,0.007688718301867158,0.0022106366616271174
gene_merP,0.007403597194869797,0.007403597194869797,0.009155341643837916
gene_terB,0.005796384664890071,0.005796384664890071,0.006787856143148908
gene_terD,0.005288193862901136,0.005288193862901136,0.005630977109823053
gene_catA1,0.0046854124357788105,0.0046854124357788105,0.0017786808706601739
gene_blaOXA-48,0.0043153556181421415,0.0043153556181421415,0.003161602774084968
gene_arsR,0.0037831936866805044,0.0037831936866805044,0.003921187206474125
gene_cmlA5,0.0034616687343306603,0.0034616687343306603,0.000561335266495687
gene_dfrA12,0.003190389990371917,0.003190389990371917,0.0008840591576075269
gene_catB3,0.003134461967323375,0.003134461967323375,0.002153033408899541
gene_mph(A),0.0031117496339015437,0.0031117496339015437,0.003258200879989123
gene_qnrS1,0.0030093114973091255,0.0030093114973091255,0.0028153858421895044
gene_tet(A),0.002459335173094103,0.002459335173094103,0.0028837785616053348
gene_merA,0.0024499351829927003,0.0024499351829927003,0.0030170914514489515
gene_silE,0.0016626058187762284,0.0016626058187762284,0.0005406414551988848
gene_gyrA_D87N,0.0015636939121001464,0.0015636939121001464,0.0011997431607629718
