feature,importance,shap_mean,shap_std
gene_aac(6')-Ib,1.287441,1.287441,0.27836382
gene_parC_S80I,1.2632831,1.2632831,0.35457298
gene_blaKPC-3,0.8100868,0.8100868,0.18812923
gene_aph(3')-Ia,0.755633,0.755633,0.31186834
gene_blaOXA-48,0.714981,0.714981,0.15203013
gene_blaSHV-11,0.7006072,0.7006072,0.5445409
gene_silF,0.6760967,0.6760967,0.26436293
gene_catA1,0.66939336,0.66939336,0.17723474
gene_blaOXA-1,0.6434857,0.6434857,0.22256187
gene_aac(3)-IIe,0.60616636,0.60616636,0.4715048
gene_ybtP,0.5533494,0.5533494,0.20179129
gene_dfrA12,0.5304897,0.5304897,0.1612415
gene_arsA,0.51177716,0.51177716,0.110813774
gene_pcoE,0.49124888,0.49124888,0.15264219
gene_gyrA_D87N,0.46117926,0.46117926,0.15272003
gene_merC,0.45193195,0.45193195,0.09298333
gene_blaCTX-M-15,0.44765547,0.44765547,0.2914282
gene_aph(3')-VIb,0.41908047,0.41908047,0.05958931
gene_blaTEM-1,0.40816495,0.40816495,0.1845606
gene_armA,0.40010706,0.40010706,0.2534476
gene_arsR,0.39172575,0.39172575,0.08981994
gene_sul2,0.37861562,0.37861562,0.14328653
gene_aadA1,0.35509875,0.35509875,0.116940305
gene_aph(3'')-Ib,0.33554217,0.33554217,0.097555935
gene_blaOXA-9,0.3297747,0.3297747,0.08735955
gene_ompK36_T136TDT,0.31386974,0.31386974,0.14877807
gene_silP,0.29451114,0.29451114,0.1636054
gene_oqxB,0.29341823,0.29341823,0.15554579
gene_aph(3')-VI,0.2843262,0.2843262,0.23770441
gene_sul1,0.27216583,0.27216583,0.10921971
gene_ompK36_D135DGD,0.2549655,0.2549655,0.050979972
gene_merT,0.24864493,0.24864493,0.12614208
gene_arsD,0.24120554,0.24120554,0.06635743
gene_aph(6)-Id,0.23557432,0.23557432,0.11597993
gene_aac(6')-Ib-cr5,0.22151323,0.22151323,0.10592317
gene_tet(D),0.22014561,0.22014561,0.06682373
gene_silE,0.2080028,0.2080028,0.10865277
gene_arr-2,0.19776385,0.19776385,0.13444972
gene_blaSHV-1,0.18979482,0.18979482,0.14024067
gene_hsp20,0.18963541,0.18963541,0.09578727
gene_blaSHV,0.16807045,0.16807045,0.13680221
gene_tet(A),0.16643478,0.16643478,0.13737775
gene_qacEdelta1,0.1623406,0.1623406,0.18307163
gene_blaSHV-12,0.16075611,0.16075611,0.13655955
gene_gyrA_S83I,0.15869987,0.15869987,0.07960871
gene_oqxB20,0.15530612,0.15530612,0.06175357
gene_iroB,0.1454338,0.1454338,0.07941426
gene_gyrA_S83Y,0.12526296,0.12526296,0.04825743
gene_merA,0.11682475,0.11682475,0.053261988
