feature,importance,shap_mean,shap_std
gene_blaCTX-M-15,0.6254064,0.6254064,0.5084897
gene_parC_S80I,0.45094094,0.45094094,0.20669267
gene_gyrA_S83T,0.31466684,0.31466684,0.562778
gene_qnrS1,0.089415126,0.089415126,0.17857029
gene_blaTEM-1,0.08063562,0.08063562,0.09139934
gene_blaSHV-12,0.046520565,0.046520565,0.13343394
gene_qacEdelta1,0.027008492,0.027008492,0.029021474
gene_blaSHV-11,0.025875371,0.025875371,0.024055973
gene_blaSHV,0.024455586,0.024455586,0.07220164
gene_fosA7,0.024262536,0.024262536,0.04163859
gene_catB3,0.018040556,0.018040556,0.02586949
gene_oqxB19,0.016520966,0.016520966,0.028541055
gene_aadA16,0.01569683,0.01569683,0.08849805
gene_sul1,0.013998517,0.013998517,0.016483018
gene_blaCMY-2,0.011926684,0.011926684,0.07263025
gene_gyrA_S83I,0.010928121,0.010928121,0.021787062
gene_aadA1,0.01032093,0.01032093,0.031012543
gene_mph(A),0.009417136,0.009417136,0.013017639
gene_oqxB,0.007739966,0.007739966,0.009094798
gene_oqxR_D95E,0.0076442854,0.0076442854,0.018725768
gene_aph(6)-Id,0.0073054777,0.0073054777,0.008364755
gene_blaKPC-3,0.0065985667,0.0065985667,0.0032048349
gene_clbB,0.004708916,0.004708916,0.00963695
gene_blaSHV-7,0.004638632,0.004638632,0.0021562367
gene_dfrA12,0.0036318148,0.0036318148,0.010837964
gene_ant(2'')-Ia,0.0033230677,0.0033230677,0.007306499
gene_arr-3,0.003205381,0.003205381,0.0036542187
gene_arsC,0.0030360962,0.0030360962,0.0041852775
gene_aph(3'')-Ib,0.0029019136,0.0029019136,0.006764242
gene_aac(3)-IIe,0.0027476929,0.0027476929,0.0059353895
gene_oqxA11,0.0025719854,0.0025719854,0.0069943145
gene_gyrA_S83F,0.0025333918,0.0025333918,0.005878452
gene_blaTEM,0.0020651428,0.0020651428,0.0046296907
gene_ampC-Kaer,0.0019020494,0.0019020494,0.004932189
gene_aac(3)-IId,0.0018384954,0.0018384954,0.0033353497
gene_aadA5,0.0013673487,0.0013673487,0.0011765505
gene_merP,0.00071619544,0.00071619544,0.0017290593
gene_silF,0.0006778275,0.0006778275,0.0015355817
gene_catA2,0.0006214817,0.0006214817,0.0015915058
gene_silE,0.00059529825,0.00059529825,0.0020358867
gene_blaOXA-1,0.00057543075,0.00057543075,0.0013309818
gene_tet(A),0.00048892846,0.00048892846,0.0010572147
gene_dfrA50,0.00046278597,0.00046278597,0.0011814489
gene_clpK,0.0004205224,0.0004205224,0.00071703666
gene_blaSHV-1,0.00037362138,0.00037362138,0.000797409
gene_terD,0.00030121455,0.00030121455,0.0011773343
gene_oqxA,0.00023330371,0.00023330371,0.0006883079
gene_blaSHV-27,9.296076e-05,9.296076e-05,0.00014423589
gene_pcoE,6.3549254e-05,6.3549254e-05,6.499224e-05
gene_ompK36_T136TDT,0.0,0.0,0.0
gene_kefB-GI,0.0,0.0,0.0
gene_ompK36_W125STOP,0.0,0.0,0.0
gene_iutA,0.0,0.0,0.0
gene_iucD,0.0,0.0,0.0
gene_merD,0.0,0.0,0.0
gene_oqxA10,0.0,0.0,0.0
gene_iucC,0.0,0.0,0.0
gene_ompK36_Q70STOP,0.0,0.0,0.0
gene_oqxA3,0.0,0.0,0.0
gene_iucA,0.0,0.0,0.0
gene_oqxB14,0.0,0.0,0.0
gene_iss,0.0,0.0,0.0
gene_oqxB15,0.0,0.0,0.0
gene_iroN,0.0,0.0,0.0
gene_iroE,0.0,0.0,0.0
gene_iucB,0.0,0.0,0.0
gene_lpfA-O113,0.0,0.0,0.0
gene_ompK36_Q313STOP,0.0,0.0,0.0
gene_merC,0.0,0.0,0.0
gene_merE,0.0,0.0,0.0
gene_merF,0.0,0.0,0.0
gene_merR,0.0,0.0,0.0
gene_merB,0.0,0.0,0.0
gene_merT,0.0,0.0,0.0
gene_mgrB_Q30STOP,0.0,0.0,0.0
gene_oqxB25,0.0,0.0,0.0
gene_mph(C),0.0,0.0,0.0
gene_mph(E),0.0,0.0,0.0
gene_msr(E),0.0,0.0,0.0
gene_ncrA,0.0,0.0,0.0
gene_merA,0.0,0.0,0.0
gene_ncrB,0.0,0.0,0.0
gene_mcr-9.1,0.0,0.0,0.0
gene_ncrC,0.0,0.0,0.0
gene_ncrY,0.0,0.0,0.0
gene_nirB,0.0,0.0,0.0
