feature,importance,shap_mean,shap_std
gene_parC_S80I,0.40717116,0.40717116,0.12462064
gene_blaKPC-2,0.3736587,0.3736587,0.50327337
gene_blaKPC-3,0.3498113,0.3498113,0.04882599
gene_ble,0.32988238,0.32988238,0.32432413
gene_ompK36_D135DGD,0.22512776,0.22512776,0.21589218
gene_aac(6')-Ib,0.17093362,0.17093362,0.054868888
gene_oqxB19,0.13822705,0.13822705,0.18743338
gene_sul1,0.08832028,0.08832028,0.019606773
gene_aac(6')-Ib-cr5,0.087537184,0.087537184,0.02960127
gene_aadA1,0.086785026,0.086785026,0.040707223
gene_yfdX2,0.05784023,0.05784023,0.13198815
gene_gyrA_S83F,0.046199076,0.046199076,0.025645524
gene_merE,0.040504273,0.040504273,0.035083767
gene_ybtP,0.030061796,0.030061796,0.010642883
gene_aadA2,0.028408168,0.028408168,0.03130685
gene_ompK36_T136TDT,0.02516368,0.02516368,0.0032132394
gene_aph(3'')-Ib,0.020594964,0.020594964,0.01329718
gene_dfrA1,0.017764911,0.017764911,0.03652377
gene_gyrA_S83I,0.017415533,0.017415533,0.021965792
gene_clpK,0.015671745,0.015671745,0.016786179
gene_arr-3,0.01505618,0.01505618,0.011408084
gene_merR,0.01383182,0.01383182,0.013335987
gene_aph(6)-Id,0.013380532,0.013380532,0.007944215
gene_qnrB1,0.011503547,0.011503547,0.015840076
gene_blaTEM-1,0.010750805,0.010750805,0.003226453
gene_tet(D),0.010155821,0.010155821,0.009917118
gene_blaTEM,0.009413271,0.009413271,0.009131934
gene_blaCTX-M-14,0.00868568,0.00868568,0.012206826
gene_pcoA,0.00810788,0.00810788,0.005861678
gene_catA1,0.007802965,0.007802965,0.0040608947
gene_arsA,0.007441555,0.007441555,0.005551128
gene_merA,0.0073838714,0.0073838714,0.015275123
gene_qnrS1,0.007187567,0.007187567,0.0063362257
gene_blaSHV-28,0.0069481316,0.0069481316,0.007825085
gene_sul2,0.0068650795,0.0068650795,0.0032582597
gene_blaOXA-10,0.0068345354,0.0068345354,0.005686182
gene_oqxB25,0.005665477,0.005665477,0.011486801
gene_blaCTX-M-15,0.0055408683,0.0055408683,0.00595266
gene_blaOXA-204,0.0042131213,0.0042131213,0.00055116176
gene_blaSHV-12,0.00386289,0.00386289,0.0025479319
gene_terE,0.0037501904,0.0037501904,0.0035657499
